이름,분류,위도,경도,평점,지역,가는 법,설명,구글지도
"가오슝 국제공항(高雄國際機場) — Kaohsiung Intl Airport","공항 · 이동",22.575,120.3519,"","이동","","도착 10/29 13:15 제주항공 7C6121 · 출발 11/1 17:00 티웨이 TW672. MRT 레드라인 R4","https://www.google.com/maps/search/?api=1&query=22.575,120.3519"
"김포공항 국제선 — Gimpo Intl","공항 · 이동",37.5586,126.7944,"","이동","","10/29 11:00 제주항공 7C6121. 집(가산디지털단지)에서 08:00 출발","https://www.google.com/maps/search/?api=1&query=37.5586,126.7944"
"인천공항 — Incheon Intl","공항 · 이동",37.4602,126.4407,"","이동","","11/1 20:45 티웨이 TW672 도착. 21:30 버스로 가산디지털단지","https://www.google.com/maps/search/?api=1&query=37.4602,126.4407"
